Year,Student_ID,Campus_ID,Grade,Gender,Teacher_ID,Attendance_Rate,Standardized_Math_Score,Standardized_Social_Studies_Score,Standardized_Science_Score
2021,S0006,C1,1st,Male,T0006,0.904,86.2,80.0,86.6
2022,S0006,C1,2nd,Male,T0010,0.934,100.0,97.2,100.0
2023,S0006,C1,3rd,Male,T0015,1.0,100.0,90.6,92.0
2024,S0006,C1,4th,Male,T0020,0.818,71.2,69.0,87.0
2025,S0006,C1,5th,Male,T0025,1.0,77.7,87.4,81.2
2021,S0007,C1,1st,Male,T0008,0.913,92.5,83.3,94.5
2022,S0007,C1,2nd,Male,T0013,0.794,87.0,86.6,90.9
2023,S0007,C1,3rd,Male,T0017,0.849,82.7,78.9,79.4
2024,S0007,C1,4th,Male,T0021,0.847,96.0,72.1,88.1
2025,S0007,C1,5th,Male,T0023,0.893,93.2,93.3,87.1
2021,S0008,C1,1st,Male,T0007,1.0,86.0,94.1,100.0
2022,S0008,C1,2nd,Male,T0010,0.889,87.6,82.9,94.6
2023,S0008,C1,3rd,Male,T0016,1.0,96.3,93.1,99.8
2024,S0008,C1,4th,Male,T0020,0.945,88.5,83.3,87.6
2025,S0008,C1,5th,Male,T0025,0.87,83.5,76.6,64.8
2021,S0009,C1,1st,Male,T0006,0.797,74.2,79.2,78.8
2022,S0009,C1,2nd,Male,T0010,0.881,91.2,87.2,89.8
2023,S0009,C1,3rd,Male,T0016,0.787,92.1,67.6,92.3
2024,S0009,C1,4th,Male,T0020,0.809,81.0,77.6,88.3
2025,S0009,C1,5th,Male,T0022,0.978,87.9,82.8,94.1
2021,S0010,C1,1st,Female,T0007,0.986,98.9,97.4,98.1
2022,S0010,C1,2nd,Female,T0077,0.868,87.9,67.5,78.9
2023,S0010,C1,3rd,Female,T0078,0.934,85.9,75.2,82.0
2024,S0010,C1,4th,Female,T0018,0.799,80.9,81.2,80.9
2025,S0010,C1,5th,Female,T0025,0.927,85.9,64.3,96.8
2021,S0011,C1,1st,Male,T0005,0.909,91.5,91.8,84.4
2022,S0011,C1,2nd,Male,T0077,0.999,78.3,100.0,84.5
2023,S0011,C1,3rd,Male,T0017,0.874,74.9,68.2,82.7
2024,S0011,C1,4th,Male,T0018,0.815,79.3,80.6,86.9
2025,S0011,C1,5th,Male,T0022,0.735,93.6,82.8,80.7
2021,S0012,C1,1st,Female,T0008,1.0,85.1,81.9,83.3
2022,S0012,C1,2nd,Female,T0010,0.909,86.9,100.0,100.0
2023,S0012,C1,3rd,Female,T0017,0.931,80.2,87.7,89.8
2024,S0012,C1,4th,Female,T0021,0.826,78.7,70.2,81.6
2025,S0012,C1,5th,Female,T0024,0.952,96.8,96.5,96.0
2021,S0013,C1,1st,Female,T0006,0.879,85.3,87.9,83.6
2022,S0013,C1,2nd,Female,T0011,0.986,97.4,91.2,100.0
2023,S0013,C1,3rd,Female,T0015,0.867,78.7,68.1,77.8
2024,S0013,C1,4th,Female,T0018,0.846,72.0,80.0,81.8
2025,S0013,C1,5th,Female,T0025,0.84,83.4,63.8,88.1
2021,S0014,C1,1st,Male,T0005,1.0,92.9,91.3,97.3
2022,S0014,C1,2nd,Male,T0077,0.908,86.0,59.9,64.1
2023,S0014,C1,3rd,Male,T0015,0.924,83.1,88.6,96.7
2024,S0014,C1,4th,Male,T0019,0.924,92.5,96.3,93.2
2025,S0014,C1,5th,Male,T0024,0.986,98.9,85.5,100.0
2021,S0015,C1,1st,Female,T0006,0.975,99.3,75.5,96.8
2022,S0015,C1,2nd,Female,T0013,0.734,99.9,91.1,83.4
2023,S0015,C1,3rd,Female,T0017,0.948,92.7,91.3,81.8
2024,S0015,C1,4th,Female,T0018,0.801,81.6,79.8,85.8
2025,S0015,C1,5th,Female,T0024,0.885,83.7,84.8,77.7
2021,S0016,C1,1st,Female,T0007,0.928,95.8,90.1,100.0
2022,S0016,C1,2nd,Female,T0011,0.843,95.8,89.1,84.0
2023,S0016,C1,3rd,Female,T0016,0.925,91.8,82.9,89.0
2024,S0016,C1,4th,Female,T0019,0.927,98.3,95.9,85.6
2025,S0016,C1,5th,Female,T0023,0.95,94.6,90.0,93.8
2021,S0017,C1,1st,Female,T0008,0.915,89.0,85.4,90.7
2022,S0017,C1,2nd,Female,T0011,0.814,75.0,91.5,91.3
2023,S0017,C1,3rd,Female,T0017,0.975,89.7,89.4,93.7
2024,S0017,C1,4th,Female,T0018,0.904,81.9,83.8,80.8
2025,S0017,C1,5th,Female,T0022,0.794,90.1,95.3,83.5
2021,S0018,C1,1st,Male,T0005,0.863,91.0,92.5,87.9
2022,S0018,C1,2nd,Male,T0013,0.761,84.0,93.1,88.0
2023,S0018,C1,3rd,Male,T0015,0.921,98.8,93.2,81.3
2024,S0018,C1,4th,Male,T0019,0.92,91.7,81.3,94.6
2025,S0018,C1,5th,Male,T0023,0.884,86.2,70.6,89.6
2021,S0019,C1,1st,Male,T0009,0.927,93.9,87.5,83.3
2022,S0019,C1,2nd,Male,T0011,0.987,96.4,88.2,96.3
2023,S0019,C1,3rd,Male,T0015,0.814,90.7,69.4,80.9
2024,S0019,C1,4th,Male,T0020,0.81,77.4,71.7,87.9
2025,S0019,C1,5th,Male,T0024,0.808,88.3,76.5,72.3
2021,S0020,C1,1st,Female,T0007,0.817,91.8,93.6,84.4
2022,S0020,C1,2nd,Female,T0010,0.976,91.6,100.0,96.3
2023,S0020,C1,3rd,Female,T0016,0.878,96.8,96.3,89.3
2024,S0020,C1,4th,Female,T0018,0.924,94.2,80.0,78.4
2025,S0020,C1,5th,Female,T0024,0.812,92.7,75.1,90.8
2021,S0021,C1,1st,Male,T0005,1.0,90.0,95.5,96.3
2022,S0021,C1,2nd,Male,T0077,1.0,85.9,77.3,84.2
2023,S0021,C1,3rd,Male,T0015,0.954,88.5,78.1,92.7
2024,S0021,C1,4th,Male,T0019,0.851,83.1,77.6,89.6
2025,S0021,C1,5th,Male,T0025,0.956,89.3,83.6,94.9
2021,S0022,C1,1st,Male,T0008,1.0,90.2,84.6,88.7
2022,S0022,C1,2nd,Male,T0010,0.87,97.6,99.2,99.2
2023,S0022,C1,3rd,Male,T0078,0.864,80.2,80.4,79.3
2024,S0022,C1,4th,Male,T0021,0.97,100.0,89.9,97.9
2025,S0022,C1,5th,Male,T0022,0.917,98.7,76.6,90.0
2021,S0023,C1,1st,Female,T0008,0.94,91.0,78.6,78.0
2022,S0023,C1,2nd,Female,T0013,0.992,100.0,100.0,96.9
2023,S0023,C1,3rd,Female,T0017,0.813,80.6,70.9,76.4
2024,S0023,C1,4th,Female,T0019,0.8,78.9,68.8,77.2
2025,S0023,C1,5th,Female,T0022,0.848,87.5,71.1,90.3
2021,S0024,C1,1st,Male,T0008,0.855,75.9,71.7,72.3
2022,S0024,C1,2nd,Male,T0010,0.836,92.4,100.0,94.2
2023,S0024,C1,3rd,Male,T0017,0.865,97.6,69.8,87.0
2024,S0024,C1,4th,Male,T0018,0.962,82.6,86.9,99.6
2025,S0024,C1,5th,Male,T0025,0.879,86.9,62.0,93.9
2021,S0025,C1,1st,Male,T0006,0.89,74.8,92.2,96.1
2022,S0025,C1,2nd,Male,T0010,0.948,99.4,100.0,100.0
2023,S0025,C1,3rd,Male,T0015,0.747,72.6,74.4,86.4
2024,S0025,C1,4th,Male,T0019,0.793,85.7,78.0,82.4
2025,S0025,C1,5th,Male,T0025,0.992,81.0,77.8,83.7
2021,S0026,C1,1st,Female,T0005,0.832,80.7,85.4,91.3
2022,S0026,C1,2nd,Female,T0011,0.933,95.6,73.9,100.0
2023,S0026,C1,3rd,Female,T0015,0.847,86.3,69.8,75.4
2024,S0026,C1,4th,Female,T0019,0.914,89.5,68.6,87.1
2025,S0026,C1,5th,Female,T0023,0.992,90.5,80.1,93.0
2021,S0027,C1,1st,Male,T0005,0.856,77.5,87.0,82.4
2022,S0027,C1,2nd,Male,T0013,0.873,92.3,88.2,97.0
2023,S0027,C1,3rd,Male,T0078,0.896,74.4,75.4,77.5
2024,S0027,C1,4th,Male,T0018,0.879,95.2,81.2,88.9
2025,S0027,C1,5th,Male,T0023,0.868,89.6,82.5,96.7
2021,S0028,C1,1st,Female,T0008,0.771,75.4,78.5,84.4
2022,S0028,C1,2nd,Female,T0077,0.892,73.2,83.4,86.1
2023,S0028,C1,3rd,Female,T0017,0.947,86.0,88.5,99.7
2024,S0028,C1,4th,Female,T0018,0.842,76.5,80.5,87.7
2025,S0028,C1,5th,Female,T0024,0.75,76.1,71.3,90.7
2021,S0029,C1,1st,Male,T0008,0.987,84.6,92.5,86.7
2022,S0029,C1,2nd,Male,T0077,0.859,71.8,71.8,71.2
2023,S0029,C1,3rd,Male,T0016,0.871,87.0,78.8,88.3
2024,S0029,C1,4th,Male,T0018,0.98,81.9,95.9,100.0
2025,S0029,C1,5th,Male,T0023,0.85,96.4,75.8,87.5
2021,S0030,C1,1st,Female,T0007,0.952,87.5,90.3,98.0
2022,S0030,C1,2nd,Female,T0010,0.997,100.0,100.0,100.0
2023,S0030,C1,3rd,Female,T0016,1.0,98.2,79.4,89.9
2024,S0030,C1,4th,Female,T0020,0.925,96.7,76.2,88.5
2025,S0030,C1,5th,Female,T0023,0.813,80.8,78.2,89.7
2021,S0031,C1,1st,Female,T0009,0.91,83.9,88.5,89.3
2022,S0031,C1,2nd,Female,T0010,0.863,100.0,82.5,95.9
2023,S0031,C1,3rd,Female,T0015,1.0,90.1,85.1,99.8
2024,S0031,C1,4th,Female,T0019,0.869,91.9,78.1,94.1
2025,S0031,C1,5th,Female,T0022,0.842,86.5,73.3,88.0
2021,S0032,C1,1st,Male,T0005,0.872,80.1,93.0,80.2
2022,S0032,C1,2nd,Male,T0013,0.93,97.6,86.1,88.0
2023,S0032,C1,3rd,Male,T0017,0.881,85.6,81.0,87.9
2024,S0032,C1,4th,Male,T0021,0.895,96.1,87.1,94.4
2025,S0032,C1,5th,Male,T0023,1.0,96.5,81.7,97.6
2021,S0033,C1,1st,Male,T0005,0.911,77.8,90.0,92.6
2022,S0033,C1,2nd,Male,T0077,0.988,77.8,94.4,91.9
2023,S0033,C1,3rd,Male,T0015,0.951,90.8,84.5,88.2
2024,S0033,C1,4th,Male,T0020,0.964,86.2,89.5,96.7
2025,S0033,C1,5th,Male,T0023,0.808,87.6,74.5,92.4
2021,S0034,C1,1st,Female,T0007,0.996,86.6,94.2,87.9
2022,S0034,C1,2nd,Female,T0011,0.897,94.8,97.1,92.9
2023,S0034,C1,3rd,Female,T0016,0.927,93.7,94.8,100.0
2024,S0034,C1,4th,Female,T0019,1.0,99.0,94.7,98.8
2025,S0034,C1,5th,Female,T0024,1.0,99.3,91.2,91.7
2021,S0035,C1,1st,Female,T0005,0.896,91.5,93.0,97.4
2022,S0035,C1,2nd,Female,T0010,1.0,100.0,91.8,97.9
2023,S0035,C1,3rd,Female,T0078,1.0,98.1,91.7,84.1
2024,S0035,C1,4th,Female,T0021,0.826,81.9,83.0,87.4
2025,S0035,C1,5th,Female,T0025,1.0,74.3,80.2,80.8
2021,S0036,C1,1st,Male,T0007,0.822,83.3,83.7,77.8
2022,S0036,C1,2nd,Male,T0010,0.826,91.8,85.8,96.7
2023,S0036,C1,3rd,Male,T0015,1.0,80.3,85.7,83.6
2024,S0036,C1,4th,Male,T0020,1.0,82.1,84.1,99.8
2025,S0036,C1,5th,Male,T0024,0.823,97.8,88.7,92.0
2021,S0037,C1,1st,Male,T0005,0.835,88.4,72.2,84.1
2022,S0037,C1,2nd,Male,T0011,0.836,93.1,99.8,90.4
2023,S0037,C1,3rd,Male,T0016,1.0,96.3,93.6,94.8
2024,S0037,C1,4th,Male,T0021,0.697,73.7,77.8,67.4
2025,S0037,C1,5th,Male,T0024,0.853,88.8,71.8,83.4
2021,S0038,C1,1st,Male,T0009,1.0,96.7,88.7,96.6
2022,S0038,C1,2nd,Male,T0010,0.991,100.0,89.4,100.0
2023,S0038,C1,3rd,Male,T0015,1.0,84.3,84.5,91.3
2024,S0038,C1,4th,Male,T0020,0.912,88.3,85.4,97.0
2025,S0038,C1,5th,Male,T0023,0.809,89.7,85.5,74.8
2021,S0039,C1,1st,Male,T0006,0.987,86.6,94.7,79.4
2022,S0039,C1,2nd,Male,T0013,1.0,100.0,100.0,86.3
2023,S0039,C1,3rd,Male,T0015,0.864,82.8,79.1,82.9
2024,S0039,C1,4th,Male,T0019,0.815,73.2,88.7,92.8
2025,S0039,C1,5th,Male,T0023,0.871,84.1,91.6,87.0
2021,S0040,C1,1st,Female,T0006,0.953,82.3,76.0,87.9
2022,S0040,C1,2nd,Female,T0013,0.828,91.1,82.3,86.0
2023,S0040,C1,3rd,Female,T0016,0.948,100.0,86.0,97.4
2024,S0040,C1,4th,Female,T0019,0.935,87.3,94.1,94.6
2025,S0040,C1,5th,Female,T0024,0.723,79.6,74.3,86.7
2021,S0041,C1,1st,Female,T0008,0.762,78.0,70.0,73.5
2022,S0041,C1,2nd,Female,T0011,0.82,77.2,94.2,92.5
2023,S0041,C1,3rd,Female,T0016,0.851,81.8,76.3,89.3
2024,S0041,C1,4th,Female,T0021,0.897,96.3,92.4,93.2
2025,S0041,C1,5th,Female,T0023,0.947,95.3,81.2,92.1
2021,S0042,C1,1st,Female,T0008,0.822,77.5,76.5,74.6
2022,S0042,C1,2nd,Female,T0011,0.829,92.7,92.0,98.1
2023,S0042,C1,3rd,Female,T0016,0.904,88.0,89.3,77.9
2024,S0042,C1,4th,Female,T0019,1.0,95.0,81.4,97.5
2025,S0042,C1,5th,Female,T0022,0.849,85.7,85.8,89.8
2021,S0043,C1,1st,Male,T0006,0.973,91.6,76.8,97.9
2022,S0043,C1,2nd,Male,T0011,1.0,100.0,99.5,100.0
2023,S0043,C1,3rd,Male,T0078,0.928,82.5,77.5,83.9
2024,S0043,C1,4th,Male,T0021,0.791,87.8,64.3,78.2
2025,S0043,C1,5th,Male,T0022,0.777,80.1,73.1,77.4
2021,S0044,C1,1st,Male,T0005,0.939,85.1,80.2,83.5
2022,S0044,C1,2nd,Male,T0077,0.777,72.9,65.4,65.5
2023,S0044,C1,3rd,Male,T0016,0.96,95.1,91.5,92.2
2024,S0044,C1,4th,Male,T0019,0.879,86.5,76.8,100.0
2025,S0044,C1,5th,Male,T0024,0.971,98.5,90.2,87.5
2021,S0045,C1,1st,Male,T0005,0.93,96.6,94.5,81.9
2022,S0045,C1,2nd,Male,T0013,0.947,97.4,100.0,100.0
2023,S0045,C1,3rd,Male,T0016,0.995,88.8,92.2,93.2
2024,S0045,C1,4th,Male,T0018,0.998,93.6,81.7,94.2
2025,S0045,C1,5th,Male,T0022,0.839,87.2,72.3,85.8
2021,S0046,C1,1st,Female,T0005,0.837,73.8,77.0,79.8
2022,S0046,C1,2nd,Female,T0010,0.977,100.0,100.0,100.0
2023,S0046,C1,3rd,Female,T0017,0.766,87.3,76.6,74.2
2024,S0046,C1,4th,Female,T0018,0.69,72.2,47.7,78.2
2025,S0046,C1,5th,Female,T0025,0.83,86.2,54.4,72.6
2021,S0047,C1,1st,Male,T0005,0.739,82.4,74.4,76.9
2022,S0047,C1,2nd,Male,T0011,0.887,100.0,95.2,95.9
2023,S0047,C1,3rd,Male,T0078,0.926,80.9,67.0,85.8
2024,S0047,C1,4th,Male,T0018,0.914,90.6,80.2,87.6
2025,S0047,C1,5th,Male,T0024,0.833,84.6,91.3,90.1
2021,S0048,C1,1st,Male,T0008,0.873,85.6,83.3,82.5
2022,S0048,C1,2nd,Male,T0010,0.899,96.1,89.4,88.8
2023,S0048,C1,3rd,Male,T0015,1.0,90.3,83.9,85.3
2024,S0048,C1,4th,Male,T0018,0.974,90.7,78.9,96.3
2025,S0048,C1,5th,Male,T0022,0.875,86.6,91.5,87.9
2021,S0049,C1,1st,Female,T0007,0.893,83.2,81.4,89.5
2022,S0049,C1,2nd,Female,T0013,0.678,75.1,67.9,75.3
2023,S0049,C1,3rd,Female,T0015,1.0,83.9,93.7,93.2
2024,S0049,C1,4th,Female,T0020,0.884,87.5,75.5,93.3
2025,S0049,C1,5th,Female,T0025,0.869,78.5,68.9,73.8
2021,S0050,C1,1st,Male,T0008,0.922,96.5,70.8,97.5
2022,S0050,C1,2nd,Male,T0010,0.995,100.0,95.5,98.6
2023,S0050,C1,3rd,Male,T0015,0.868,82.8,75.8,83.7
2024,S0050,C1,4th,Male,T0021,0.995,91.1,89.1,100.0
2025,S0050,C1,5th,Male,T0022,0.785,72.7,74.9,78.9
2021,S0051,C1,1st,Female,T0005,0.871,76.6,79.9,88.5
2022,S0051,C1,2nd,Female,T0010,0.884,95.5,97.5,92.1
2023,S0051,C1,3rd,Female,T0017,0.926,94.7,85.9,97.2
2024,S0051,C1,4th,Female,T0020,0.866,85.4,79.9,99.7
2025,S0051,C1,5th,Female,T0023,0.881,92.0,77.3,82.5
2021,S0052,C1,1st,Male,T0007,0.963,95.7,96.8,93.5
2022,S0052,C1,2nd,Male,T0013,0.836,85.0,94.8,93.4
2023,S0052,C1,3rd,Male,T0017,0.957,90.5,80.1,99.0
2024,S0052,C1,4th,Male,T0021,0.869,84.0,85.5,94.8
2025,S0052,C1,5th,Male,T0024,0.826,83.0,78.2,83.1
2021,S0053,C1,1st,Male,T0009,1.0,100.0,86.7,100.0
2022,S0053,C1,2nd,Male,T0077,0.806,71.0,78.4,74.0
2023,S0053,C1,3rd,Male,T0015,0.905,94.6,80.0,79.1
2024,S0053,C1,4th,Male,T0018,0.838,77.8,84.1,93.9
2025,S0053,C1,5th,Male,T0023,0.908,90.2,74.5,94.3
2021,S0054,C1,1st,Female,T0006,0.88,75.6,80.8,89.9
2022,S0054,C1,2nd,Female,T0077,0.933,85.3,81.8,81.2
2023,S0054,C1,3rd,Female,T0015,0.914,90.2,83.6,90.2
2024,S0054,C1,4th,Female,T0019,1.0,95.2,93.1,91.0
2025,S0054,C1,5th,Female,T0025,0.907,80.4,67.9,80.9
2021,S0055,C1,1st,Female,T0006,0.856,72.3,82.1,73.9
2022,S0055,C1,2nd,Female,T0013,0.948,97.1,96.1,91.6
2023,S0055,C1,3rd,Female,T0078,0.735,62.7,82.0,73.2
2024,S0055,C1,4th,Female,T0018,0.929,93.9,73.6,83.0
2025,S0055,C1,5th,Female,T0023,0.956,100.0,92.8,96.1
2021,S0056,C1,1st,Male,T0005,0.857,86.3,74.2,78.7
2022,S0056,C1,2nd,Male,T0011,0.894,87.6,84.5,94.6
2023,S0056,C1,3rd,Male,T0015,0.893,80.4,72.7,95.4
2024,S0056,C1,4th,Male,T0020,0.915,80.1,92.5,91.9
2025,S0056,C1,5th,Male,T0024,0.905,93.8,77.2,88.7
2021,S0057,C1,1st,Female,T0007,0.915,82.0,81.7,84.2
2022,S0057,C1,2nd,Female,T0077,0.903,88.7,81.8,81.2
2023,S0057,C1,3rd,Female,T0016,0.91,93.3,83.9,86.0
2024,S0057,C1,4th,Female,T0019,1.0,91.1,81.4,90.7
2025,S0057,C1,5th,Female,T0022,0.915,87.4,84.2,99.3
2021,S0058,C1,1st,Female,T0009,1.0,93.3,94.1,87.8
2022,S0058,C1,2nd,Female,T0010,0.932,91.7,96.3,95.4
2023,S0058,C1,3rd,Female,T0015,0.855,83.9,81.3,84.0
2024,S0058,C1,4th,Female,T0018,1.0,94.2,77.9,83.3
2025,S0058,C1,5th,Female,T0022,0.77,93.2,80.4,87.5
2021,S0059,C1,1st,Female,T0006,0.884,88.4,92.4,76.8
2022,S0059,C1,2nd,Female,T0013,0.778,87.3,79.4,84.0
2023,S0059,C1,3rd,Female,T0078,0.807,76.8,83.3,72.3
2024,S0059,C1,4th,Female,T0021,0.98,77.3,86.9,91.4
2025,S0059,C1,5th,Female,T0022,0.912,89.2,84.5,96.7
2021,S0060,C1,1st,Female,T0005,0.728,78.3,75.3,86.1
2022,S0060,C1,2nd,Female,T0077,0.895,80.5,84.6,75.5
2023,S0060,C1,3rd,Female,T0078,0.883,88.5,60.4,83.3
2024,S0060,C1,4th,Female,T0019,0.824,80.9,75.3,78.9
2025,S0060,C1,5th,Female,T0025,1.0,84.6,75.9,76.7
2021,S0061,C1,1st,Female,T0005,0.822,83.7,75.1,77.7
2022,S0061,C1,2nd,Female,T0010,1.0,100.0,100.0,100.0
2023,S0061,C1,3rd,Female,T0078,0.876,89.1,80.5,86.1
2024,S0061,C1,4th,Female,T0018,0.945,92.1,79.9,77.0
2025,S0061,C1,5th,Female,T0023,0.909,94.2,76.1,74.2
2021,S0062,C1,1st,Female,T0007,0.81,75.0,90.1,86.5
2022,S0062,C1,2nd,Female,T0011,1.0,93.9,95.9,99.2
2023,S0062,C1,3rd,Female,T0017,0.888,88.9,93.7,79.4
2024,S0062,C1,4th,Female,T0019,0.895,97.0,90.3,88.7
2025,S0062,C1,5th,Female,T0023,0.82,84.0,78.7,66.4
2021,S0063,C1,1st,Female,T0009,0.917,89.2,82.0,94.0
2022,S0063,C1,2nd,Female,T0013,1.0,99.5,92.0,94.8
2023,S0063,C1,3rd,Female,T0017,0.923,79.7,80.9,92.0
2024,S0063,C1,4th,Female,T0019,0.858,96.2,90.4,87.4
2025,S0063,C1,5th,Female,T0024,0.962,97.1,80.1,100.0
2021,S0064,C1,1st,Female,T0005,0.915,85.7,98.0,89.1
2022,S0064,C1,2nd,Female,T0010,0.855,97.9,83.8,100.0
2023,S0064,C1,3rd,Female,T0078,0.837,79.1,59.6,70.3
2024,S0064,C1,4th,Female,T0020,0.904,87.7,75.0,87.0
2025,S0064,C1,5th,Female,T0023,0.98,98.2,93.8,94.4
2021,S0065,C1,1st,Female,T0006,0.991,78.9,100.0,86.9
2022,S0065,C1,2nd,Female,T0013,0.756,89.4,93.1,97.4
2023,S0065,C1,3rd,Female,T0016,0.755,77.7,89.4,81.3
2024,S0065,C1,4th,Female,T0019,0.745,84.8,71.3,81.9
2025,S0065,C1,5th,Female,T0022,0.925,94.5,95.7,97.1
2021,S0066,C1,1st,Male,T0007,0.701,84.7,71.7,71.8
2022,S0066,C1,2nd,Male,T0077,0.71,72.5,69.5,66.0
2023,S0066,C1,3rd,Male,T0016,0.914,83.8,78.0,91.1
2024,S0066,C1,4th,Male,T0019,0.946,95.1,86.8,93.7
2025,S0066,C1,5th,Male,T0024,0.857,80.5,77.5,96.7
2021,S0067,C1,1st,Male,T0006,0.863,78.6,77.3,73.3
2022,S0067,C1,2nd,Male,T0010,0.984,99.4,100.0,100.0
2023,S0067,C1,3rd,Male,T0015,0.844,78.4,82.3,82.8
2024,S0067,C1,4th,Male,T0020,0.942,94.1,79.0,84.0
2025,S0067,C1,5th,Male,T0025,0.98,87.6,73.5,94.1
2021,S0068,C1,1st,Male,T0005,0.894,85.8,88.2,83.4
2022,S0068,C1,2nd,Male,T0011,0.883,96.9,92.4,81.2
2023,S0068,C1,3rd,Male,T0078,0.874,84.7,77.5,86.4
2024,S0068,C1,4th,Male,T0020,0.821,72.7,65.1,85.4
2025,S0068,C1,5th,Male,T0023,0.868,91.7,76.3,82.7
2021,S0069,C1,1st,Male,T0009,0.845,73.2,92.9,87.1
2022,S0069,C1,2nd,Male,T0013,0.768,94.4,89.4,92.3
2023,S0069,C1,3rd,Male,T0016,0.916,91.3,89.8,88.0
2024,S0069,C1,4th,Male,T0018,0.835,84.7,75.3,82.0
2025,S0069,C1,5th,Male,T0023,0.936,82.3,90.6,95.7
2021,S0070,C1,1st,Male,T0008,0.899,91.1,81.1,86.9
2022,S0070,C1,2nd,Male,T0013,0.955,99.8,92.4,96.5
2023,S0070,C1,3rd,Male,T0078,0.825,74.7,78.0,77.6
2024,S0070,C1,4th,Male,T0021,0.861,90.8,88.1,97.2
2025,S0070,C1,5th,Male,T0025,1.0,81.0,79.5,81.6
2021,S0071,C1,1st,Male,T0008,0.899,77.1,77.2,87.8
2022,S0071,C1,2nd,Male,T0077,0.841,69.3,61.7,67.2
2023,S0071,C1,3rd,Male,T0016,0.891,91.4,90.5,79.6
2024,S0071,C1,4th,Male,T0021,0.894,95.5,76.8,95.7
2025,S0071,C1,5th,Male,T0023,0.869,85.4,77.9,87.6
2021,S0072,C1,1st,Male,T0005,0.855,78.6,86.1,94.7
2022,S0072,C1,2nd,Male,T0077,0.859,76.2,77.5,85.6
2023,S0072,C1,3rd,Male,T0078,0.847,77.3,77.4,81.5
2024,S0072,C1,4th,Male,T0019,0.932,94.4,76.6,93.3
2025,S0072,C1,5th,Male,T0025,0.815,85.5,63.2,77.2
2021,S0073,C1,1st,Male,T0008,0.944,82.2,80.3,83.2
2022,S0073,C1,2nd,Male,T0077,1.0,89.2,90.4,93.4
2023,S0073,C1,3rd,Male,T0017,0.876,79.7,69.0,92.9
2024,S0073,C1,4th,Male,T0021,0.848,80.9,88.2,78.7
2025,S0073,C1,5th,Male,T0023,0.912,98.3,90.4,78.1
2021,S0074,C1,1st,Male,T0006,0.968,81.2,69.9,79.0
2022,S0074,C1,2nd,Male,T0011,0.776,85.8,76.5,88.5
2023,S0074,C1,3rd,Male,T0017,0.667,78.7,73.5,58.1
2024,S0074,C1,4th,Male,T0021,1.0,91.8,75.0,100.0
2025,S0074,C1,5th,Male,T0022,0.882,71.7,84.6,90.8
2021,S0075,C1,1st,Female,T0005,0.92,95.5,82.6,84.9
2022,S0075,C1,2nd,Female,T0077,0.862,69.5,62.8,83.1
2023,S0075,C1,3rd,Female,T0015,0.799,87.0,84.1,85.8
2024,S0075,C1,4th,Female,T0021,1.0,86.9,92.7,97.0
2025,S0075,C1,5th,Female,T0025,0.867,76.5,64.7,79.7
2021,S0076,C1,1st,Female,T0008,0.985,89.4,95.2,97.4
2022,S0076,C1,2nd,Female,T0011,0.78,94.5,81.6,83.0
2023,S0076,C1,3rd,Female,T0015,0.999,91.0,82.2,92.3
2024,S0076,C1,4th,Female,T0018,0.948,90.1,68.1,79.9
2025,S0076,C1,5th,Female,T0023,0.987,96.3,100.0,86.5
